"word","Sug_Customer"
"fries","Fries here is good, maybe you could have a try!"
"chips","Chips here is good, maybe you could have a try!"
"onion rings","Onion rings here is good, it could be good to have some onion rings with drinks!"
"nachos","Nachos here is good, try some!"
"wings","Wings here are good, you could have a try!"
"burger","Burger here is good, try to have one if you're hungry!"
"monzarella stick","Monzarella stick is good. Have a try!"
"quesadillas","Quesadillas is good. Have a try!"
"cheese","Cheese here is good. Try some cheese snacks!"
"pizza","Pizza here is good. Try some!"
"taco","Taco here is good. Try some!"
"popcorn","Popcorn here is good. Try some!"
"bacon","Bacon here is good. Try some food with bacon!"
"slider","Slider here is good. Try some mini-burger!"
"fried","Fried food here is good. Try some fried food here!"
"shrimp","Shrimp here is good. Try some seafood snacks."
"salads","Salads here is good. And it's good for health."
"dip","Dipping source here is good. Try it!"
"nugget","Nugget here is good. Try some!"
"oysters","Oysters here is good, try some seafood!"
"peanut","Peanut here is good, have some snacks while drinking!"
"chicken","Chicken here is good, try some if you're hungry!"
"beer","Beer here is good, enjoy it!"
"wine","Wine here is good, try some?"
"cocktail","Cocktail here is good, enjoy it!"
"spirit","Spirit here is good, try some strong one?"
"rum","Rum here is good, try some and enjoy the tropical style!"
"whiskey","Whisky here is good, try some? Freedom and Whisky gang thegither!"
"vodka","Vodka here is good. Want to try some strong one?"
"tequila","Tequila here is good. Have a try?"
"gin","Gin here is good. Maybe have a try?"
"daiquiri","Daiquiri here is good. Do you want to have a try?"
"manhattan","Manhattan here is good. Have a try of taste of Manhattan."
"mojito","Mojito here is good. Have a try of taste of Cuba."
"margarita","Margarita here is good. Try a cup and taste the sweetness and bitterness of love."
"martini","Martini here is good. Do you want to try one of the most famous cocktails?"
"waiter","Service here is good. Enjoy it!"
"waitress","Service here is good. Enjoy it!"
"park","There are parking lots. Don't worry."
"wifi","There is Wi-Fi. But remember to talk more with others."
"music","Music here is good. Enjoy the atmosphere!"
"band","Band here is good. Enjoy the atmosphere!"
"light","Light here is good. Enjoy the atmosphere!"
